
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
17,Roy Hibbert,C,7-2,270,December 11 1986,,7,Georgetown University
24,Kobe Bryant,SF,6-6,212,August 23 1978,,19,
50,Robert Sacre,C,7-0,270,June 6 1989,,3,Gonzaga University
0,Nick Young,SG,6-7,210,June 1 1985,,8,University of Southern California
4,Ryan Kelly,PF,6-11,230,April 9 1991,,2,Duke University
30,Julius Randle,PF,6-9,250,November 29 1994,,1,University of Kentucky
6,Jordan Clarkson,SG,6-5,185,June 7 1992,,1,University of Missouri
28,Tarik Black,C,6-9,250,November 22 1991,,1,University of Kansas
1,D'Angelo Russell,PG,6-5,195,February 23 1996,,R,Ohio State University
7,Larry Nance Jr.,PF,6-9,230,January 1 1993,,R,University of Wyoming
23,Lou Williams,SG,6-1,175,October 27 1986,,10,
2,Brandon Bass,PF,6-8,250,April 30 1985,,10,Louisiana State University
3,Anthony Brown,SF,6-7,210,October 10 1992,,R,Stanford University
9,Marcelo Huertas,PG,6-3,185,May 25 1983,,R,
37,Metta World Peace,SF,6-6,260,November 13 1979,,15,St. John's University
